date,amount
2013-06-24,0.038
2013-07-22,0.038
2013-08-26,0.038
2013-09-23,0.038
2013-10-21,0.038
2013-11-22,0.038
2013-12-24,0.066
2014-01-27,0.038
2014-02-24,0.038
2014-03-24,0.038
2014-04-21,0.038
2014-05-23,0.036
2014-06-23,0.048
2014-07-21,0.048
2014-08-25,0.05
2014-09-22,0.07
2014-10-27,0.023
2014-11-21,0.062
2014-12-19,0.06
2014-12-29,0.009
2015-01-26,0.016
2015-02-23,0.067
2015-04-20,0.02
2015-05-22,0.059
2015-09-21,0.08
2015-11-23,0.065
2015-12-21,0.098
2016-01-25,0.025
2016-02-22,0.05
2016-03-21,0.065
2016-04-25,0.06
2016-05-23,0.05
2016-06-20,0.06
2016-07-25,0.07
2016-08-22,0.045
2016-09-26,0.095
2016-10-24,0.035
2016-11-21,0.05
2016-12-23,0.105
2017-01-23,0.02
2017-02-17,0.035
2017-03-27,0.105
2017-04-24,0.035
2017-05-22,0.04
2017-06-26,0.085
2017-07-24,0.05
2017-08-21,0.05
2017-09-26,0.1
2017-10-24,0.045
2017-11-21,0.02
2017-12-26,0.132
2018-01-23,0.015
2018-02-20,0.04
2018-03-20,0.141
2018-04-24,0.02
2018-05-22,0.04
2018-06-25,0.115
2018-07-24,0.085
2018-08-21,0.065
2018-09-25,0.144
2018-10-23,0.015
2018-11-20,0.065
2018-12-04,0.027
2018-12-24,0.156
2019-01-22,0.055
2019-02-19,0.08
2019-03-26,0.085
2019-04-23,0.08
2019-05-28,0.125
2019-06-24,0.08
2019-07-23,0.06
2019-08-27,0.14
2019-09-24,0.06
2019-10-22,0.07
2019-11-25,0.11
2019-12-23,0.104
2019-12-30,0.016
2020-01-21,0.04
2020-02-25,0.085
2020-03-24,0.1
2020-04-21,0.09
2020-05-26,0.07
2020-06-23,0.12
2020-07-28,0.041
2020-08-25,0.07
2020-09-22,0.07
2020-10-27,0.105
2020-11-23,0.065
2020-12-21,0.155
2020-12-30,0.018
2021-01-25,0.045
2021-02-22,0.065
2021-03-25,0.125
2021-04-26,0.09
2021-05-24,0.06
2021-06-24,0.155
2021-07-26,0.065
2021-08-25,0.075
2021-09-24,0.15
2021-10-25,0.065
2021-11-23,0.075
2021-12-27,0.203
2022-01-25,0.015
2022-02-22,0.075
2022-03-25,0.145
2022-04-25,0.095
2022-05-24,0.07
2022-06-24,0.19
2022-07-25,0.065
2022-08-25,0.1
2022-09-26,0.185
2022-10-25,0.055
2022-11-23,0.075
2022-12-23,0.23
2023-01-25,0.005
2023-02-22,0.06
2023-03-27,0.19
2023-04-24,0.04
2023-05-24,0.125
2023-06-26,0.12
2023-07-25,0.08
2023-08-25,0.085
2023-09-25,0.155
2023-10-25,0.05
2023-11-24,0.1
2023-12-22,0.215
2024-01-25,0.005
2024-02-23,0.08
2024-03-22,0.17
2024-04-24,0.065
2024-05-24,0.07
2024-06-25,0.18
2024-07-26,0.06
2024-08-27,0.105
2024-09-25,0.145
2024-10-28,0.075
2024-11-25,0.1
2024-12-26,0.155
2024-12-31,0.041
2025-01-28,0.003
2025-02-25,0.11
2025-03-26,0.155
2025-04-25,0.09
2025-05-27,0.065
2025-06-25,0.175
2025-07-28,0.05
2025-08-26,0.085
2025-09-25,0.185
2025-10-28,0.035
2025-11-24,0.09
2025-12-26,0.233
2026-01-27,0.025
2026-02-24,0.055
2026-03-26,0.17
2026-04-27,0.075
2026-05-26,0.055
2026-06-25,0.16
