date,amount
2017-03-29,0.139
2017-06-28,0.311
2017-09-28,0.316
2017-12-28,0.344
2018-03-28,0.332
2018-06-28,0.335
2018-07-30,0.115
2018-08-30,0.124
2018-09-27,0.125
2018-10-30,0.129
2018-11-29,0.131
2018-12-28,0.116
2019-01-30,0.127
2019-02-27,0.133
2019-03-28,0.133
2019-04-29,0.136
2019-05-30,0.133
2019-06-27,0.139
2019-07-30,0.141
2019-08-29,0.137
2019-09-27,0.14
2019-10-30,0.14
2019-11-27,0.143
2019-12-30,1.004
2020-01-29,0.139
2020-02-26,0.137
2020-03-27,0.109
2020-04-28,0.125
2020-05-27,0.126
2020-06-26,0.129
2020-07-29,0.134
2020-08-27,0.141
2020-09-28,0.132
2020-10-28,0.14
2020-11-25,0.147
2020-12-29,0.149
2021-01-27,0.153
2021-02-24,0.153
2021-03-29,0.157
2021-04-28,0.154
2021-05-26,0.157
2021-06-28,0.148
2021-07-28,0.153
2021-08-27,0.153
2021-09-28,0.149
2021-10-27,0.148
2021-11-26,0.15
2021-12-29,0.153
2022-01-27,0.145
2022-02-24,0.145
2022-03-29,0.151
2022-04-27,0.147
2022-05-26,0.141
2022-06-28,0.137
2022-07-27,0.138
2022-08-29,0.144
2022-09-28,0.13
2022-10-27,0.139
2022-11-28,0.147
2022-12-28,0.144
2023-01-27,0.144
2023-02-24,0.141
2023-03-29,0.139
2023-04-26,0.145
2023-05-26,0.139
2023-06-28,0.142
2023-07-27,0.148
2023-08-29,0.143
2023-09-27,0.141
2023-10-27,0.138
2023-11-28,0.142
2023-12-27,0.146
2024-01-29,0.149
2024-02-27,0.152
2024-03-26,0.155
2024-04-26,0.153
2024-05-30,0.154
2024-06-27,0.156
2024-07-30,0.158
2024-08-29,0.161
2024-09-27,0.163
2024-10-30,0.164
2024-11-27,0.171
2024-12-30,0.165
2025-01-30,0.169
2025-02-27,0.167
2025-03-28,0.165
2025-04-29,0.158
2025-05-29,0.165
2025-06-27,0.168
2025-07-30,0.172
2025-08-28,0.175
2025-09-29,0.177
2025-10-30,0.182
2025-11-26,0.214
2025-12-30,0.953
2026-01-29,0.183
2026-02-26,0.186
2026-03-30,0.179
2026-04-29,0.181
2026-05-28,0.184
2026-06-29,0.183
