date,amount
2014-01-22,0.257
2014-02-26,0.193
2014-03-26,0.193
2014-04-23,0.263
2014-05-21,0.245
2014-06-25,0.213
2014-07-23,0.209
2014-08-20,0.222
2014-09-24,0.195
2014-10-22,0.241
2014-12-24,0.144
2015-01-21,0.23
2015-03-25,0.16
2015-04-22,0.153
2015-05-20,0.169
2015-06-24,0.15
2015-07-22,0.152
2015-08-26,0.204
2015-09-23,0.222
2015-10-21,0.214
2015-11-25,0.181
2015-12-23,0.215
2016-02-24,0.22
2016-04-20,0.156
2016-05-25,0.171
2016-06-22,0.202
2016-07-20,0.141
2016-08-24,0.13
2016-09-21,0.194
2016-10-26,0.149
2016-11-23,0.162
2016-12-21,0.146
2017-01-25,0.128
2017-02-22,0.1
2017-03-22,0.123
2017-04-26,0.145
2017-05-24,0.126
2017-06-21,0.221
2017-07-26,0.159
2017-08-23,0.203
2017-09-20,0.154
2017-11-22,0.132
2017-12-20,0.247
2018-01-24,0.25
2018-02-21,0.249
2018-03-21,0.249
2018-04-25,0.234
2018-05-23,0.216
2018-06-20,0.2
2018-07-25,0.181
2018-08-22,0.226
2018-09-26,0.201
2018-10-24,0.247
2018-11-21,0.225
2018-12-28,0.172
2019-01-23,0.217
2019-02-20,0.185
2019-03-20,0.204
2019-04-24,0.179
2019-05-22,0.211
2019-06-26,0.215
2019-07-24,0.171
2019-08-21,0.227
2019-09-25,0.175
2019-10-23,0.177
2019-11-20,0.195
2019-12-30,0.165
2020-01-21,0.199
2020-02-24,0.238
2020-03-23,0.181
2020-04-20,0.199
2020-05-18,0.204
2020-06-22,0.209
2020-07-20,0.214
2020-08-24,0.22
2020-09-21,0.212
2020-10-19,0.217
2020-11-23,0.223
2020-12-30,0.23
2021-01-19,0.229
2021-02-22,0.233
2021-03-22,0.224
2021-04-19,0.228
2021-05-24,0.221
2021-06-21,0.194
2021-07-19,0.223
2021-08-23,0.188
2021-09-20,0.19
2021-10-18,0.197
2021-11-22,0.225
2021-12-30,0.499
2022-01-24,0.203
2022-02-22,0.202
2022-03-21,0.21
2022-04-18,0.205
2022-05-23,0.179
2022-06-21,0.174
2022-07-18,0.181
2022-08-22,0.181
2022-09-19,0.165
2022-10-24,0.163
2022-11-21,0.165
2022-12-29,0.161
2023-01-23,0.17
2023-02-21,0.167
2023-03-20,0.169
2023-04-24,0.173
2023-05-22,0.168
2023-06-20,0.177
2023-07-24,0.18
2023-08-21,0.173
2023-09-18,0.172
2023-10-23,0.167
2023-11-20,0.161
2023-12-28,0.166
2024-01-22,0.179
2024-02-20,0.177
2024-03-18,0.178
2024-04-22,0.172
2024-05-20,0.163
2024-06-24,0.169
2024-07-22,0.177
2024-08-19,0.179
2024-09-23,0.181
2024-10-21,0.183
2024-11-18,0.18
2024-12-30,0.339
2025-01-21,0.188
2025-02-24,0.165
2025-03-24,0.17
2025-04-21,0.16
2025-05-19,0.165
2025-06-23,0.166
2025-07-21,0.165
2025-08-18,0.168
2025-09-22,0.17
2025-10-20,0.173
2025-11-24,0.173
2025-12-22,0.178
2026-01-20,0.179
2026-02-23,0.177
2026-03-23,0.172
2026-04-20,0.179
2026-05-18,0.179
2026-06-22,0.185
