date,amount
2011-07-01,0.303
2011-08-01,0.243
2011-09-01,0.291
2011-10-03,0.831
2011-11-01,0.177
2011-12-01,0.267
2011-12-28,0.825
2012-02-01,0.099
2012-03-01,0.189
2012-04-02,0.639
2012-05-01,0.327
2012-06-01,0.474
2012-07-02,0.534
2012-08-01,0.357
2012-09-04,0.351
2012-10-01,0.585
2012-12-03,0.39
2012-12-27,0.909
2013-02-01,0.435
2013-03-01,0.396
2013-04-01,0.435
2013-05-01,0.423
2013-06-03,0.417
2013-07-01,0.417
2013-08-01,0.417
2013-09-03,0.402
2013-10-01,0.402
2013-11-01,0.369
2013-12-02,0.372
2013-12-27,0.372
2014-02-03,0.363
2014-03-03,0.363
2014-04-01,0.363
2014-05-01,0.363
2014-06-02,0.363
2014-07-01,0.363
2014-08-01,0.363
2014-09-02,0.363
2014-10-01,0.363
2014-11-03,0.363
2014-12-01,0.363
2014-12-29,0.489
2015-02-02,0.36
2015-03-02,0.363
2015-04-01,0.363
2015-05-01,0.36
2015-06-01,0.363
2015-07-01,0.363
2015-08-03,0.363
2015-09-01,0.363
2015-10-01,0.363
2015-11-02,0.363
2015-12-01,0.363
2015-12-29,0.363
2016-02-01,0.363
2016-03-01,0.363
2016-04-01,0.363
2016-05-02,0.363
2016-06-01,0.363
2016-07-01,0.363
2016-08-01,0.363
2016-09-01,0.363
2016-10-03,0.363
2016-11-01,0.363
2016-12-01,0.363
2016-12-28,0.363
2017-02-01,0.363
2017-03-01,0.363
2017-04-03,0.363
2017-05-01,0.363
2017-06-01,0.363
2017-07-03,0.363
2017-08-01,0.363
2017-09-01,0.363
2017-10-02,0.363
2017-11-01,0.363
2017-12-01,0.369
2017-12-28,0.369
2018-02-05,0.369
2018-03-05,0.369
2018-04-04,0.369
2018-05-03,0.384
2018-06-05,0.402
2018-07-05,0.405
2018-08-03,0.405
2018-09-06,0.405
2018-10-03,0.405
2018-11-05,0.405
2018-12-06,0.405
2018-12-28,0.405
2019-02-05,0.405
2019-03-05,0.405
2019-04-03,0.405
2019-05-03,0.405
2019-06-05,0.405
2019-07-03,0.39
2019-08-05,0.375
2019-09-05,0.375
2019-10-03,0.366
2019-11-05,0.366
2019-12-04,0.366
2019-12-30,0.366
2020-02-05,0.366
2020-03-04,0.366
2020-04-03,0.249
2020-05-05,0.225
2020-06-03,0.225
2020-07-06,0.24
2020-08-05,0.24
2020-09-03,0.24
2020-10-05,0.24
2020-11-04,0.225
2020-12-03,0.225
2020-12-30,0.225
2021-02-03,0.225
2021-03-03,0.24
2021-04-05,0.264
2021-05-05,0.264
2021-06-03,0.264
2021-07-06,0.264
2021-08-04,0.27
2021-09-03,0.27
2021-10-05,0.27
2021-11-03,0.27
2021-12-03,0.3
2021-12-30,0.396
2022-02-03,0.3
2022-03-03,0.3
2022-04-05,0.3
2022-05-04,0.3
2022-06-03,0.3
2022-07-06,0.3
2022-08-03,0.3
2022-09-06,0.285
2022-10-05,0.255
2022-11-03,0.255
2022-12-05,0.255
2022-12-29,0.255
2023-02-03,0.255
2023-03-03,0.255
2023-04-05,0.23
2023-05-03,0.215
2023-06-05,0.215
2023-07-06,0.215
2023-08-03,0.21
2023-09-06,0.21
2023-10-04,0.21
2023-11-03,0.21
2023-12-05,0.21
2023-12-28,0.21
2024-02-05,0.21
2024-03-05,0.21
2024-04-03,0.19
2024-05-03,0.19
2024-06-05,0.19
2024-07-03,0.19
2024-08-05,0.19
2024-09-05,0.19
2024-10-03,0.192
2024-11-05,0.192
2024-12-04,0.196
2024-12-30,0.196
2025-02-05,0.193
2025-03-05,0.2
2025-04-03,0.195
2025-05-05,0.195
2025-06-04,0.192
2025-07-03,0.19
2025-08-05,0.19
2025-09-04,0.19
2025-10-03,0.19
2025-11-05,0.19
2025-12-03,0.19
2025-12-30,0.19
2026-02-04,0.19
2026-03-04,0.197
2026-04-06,0.19
2026-05-05,0.18
2026-06-03,0.18
2026-07-06,0.18
