date,amount
2015-12-18,0.331
2016-03-18,0.277
2016-06-17,0.326
2016-09-16,0.326
2016-12-16,0.585
2017-03-17,0.318
2017-06-16,0.343
2017-09-15,0.363
2017-12-15,0.712
2018-03-16,0.349
2018-06-15,0.376
2018-09-21,0.451
2018-12-21,0.443
2019-03-15,0.339
2019-06-21,0.462
2019-09-20,0.448
2019-12-20,0.497
2020-03-20,0.396
2020-06-19,0.366
2020-09-18,0.264
2020-12-18,0.607
2021-03-19,0.636
2021-09-17,0.387
2021-12-17,0.128
2022-03-18,0.653
2022-06-17,0.405
2022-09-16,0.418
2022-12-16,0.507
2023-03-17,0.387
2023-06-16,0.465
2023-09-15,0.441
2023-12-15,0.534
2024-03-15,0.373
2024-06-21,0.487
2024-09-20,0.457
2024-12-20,0.547
2025-03-24,0.419
2025-06-23,0.5
2025-09-22,0.489
2025-12-22,0.549
2026-03-23,0.45
2026-06-22,0.543
