date,amount
2022-09-21,0.485
2022-10-26,0.465
2022-11-23,0.478
2022-12-23,0.461
2023-02-23,0.472
2023-03-22,0.466
2023-04-26,0.482
2023-05-24,0.487
2023-06-22,0.497
2023-07-26,0.505
2023-08-23,0.486
2023-09-20,0.49
2023-10-25,0.465
2023-11-22,0.478
2023-12-20,0.485
2024-01-24,0.49
2024-02-21,0.497
2024-03-20,0.501
2024-04-24,0.489
2024-05-22,0.5
2024-06-26,0.505
2024-07-24,0.509
2024-08-21,0.556
2024-09-25,0.515
2024-10-23,0.52
2024-11-20,0.521
2024-12-24,0.516
2025-01-22,0.517
2025-02-26,0.514
2025-03-26,0.506
2025-04-23,0.462
2025-05-21,0.506
2025-06-25,0.505
2025-07-23,0.511
2025-08-20,0.518
2025-09-24,0.527
2025-10-22,0.527
2025-11-26,0.522
2025-12-24,0.532
2026-01-21,0.531
2026-02-18,0.522
2026-03-18,0.51
2026-04-22,0.525
2026-05-20,0.535
2026-06-16,0.531
