date,amount
2013-07-24,0.039
2013-08-22,0.151
2013-09-25,0.05
2013-10-23,0.035
2013-11-21,0.065
2013-12-26,0.758
2014-01-23,0.019
2014-02-26,0.135
2014-03-26,0.046
2014-04-23,0.033
2014-05-22,0.08
2014-06-25,0.052
2014-07-23,0.036
2014-08-21,0.205
2014-09-24,0.171
2014-10-23,0.25
2014-11-26,0.183
2014-12-24,0.684
2015-01-22,0.194
2015-02-25,0.067
2015-03-25,0.069
2015-04-22,0.131
2015-05-20,0.071
2015-06-24,0.189
2015-07-22,0.058
2015-08-26,0.37
2015-09-23,0.396
2015-10-21,0.04
2015-11-25,0.085
2015-12-23,0.366
2016-01-21,0.335
2016-02-24,0.08
2016-03-23,0.074
2016-04-20,0.017
2016-05-25,0.267
2016-06-22,0.091
2016-07-20,0.032
2016-08-24,0.076
2016-09-21,0.198
2016-10-26,0.176
2016-11-23,0.077
2016-12-21,0.05
2017-01-25,0.227
2017-02-23,0.06
2017-03-22,0.061
2017-04-26,0.223
2017-05-24,0.077
2017-06-21,0.054
2017-07-26,0.054
2017-08-23,0.247
2017-09-20,0.06
2017-10-25,0.037
2017-11-22,0.067
2017-12-20,1.435
2018-01-24,0.259
2018-02-21,0.25
2018-03-21,0.249
2018-04-25,0.245
2018-05-23,0.251
2018-06-20,0.254
2018-07-25,0.256
2018-08-22,0.26
2018-09-26,0.262
2018-10-24,0.247
2018-11-21,0.233
2018-12-28,0.388
2019-01-23,0.227
2019-02-20,0.235
2019-03-20,0.239
2019-04-24,0.245
2019-05-22,0.24
2019-06-26,0.244
2019-07-24,0.251
2019-08-21,0.242
2019-09-25,0.243
2019-10-23,0.245
2019-11-20,0.251
2019-12-30,0.256
2020-01-21,0.259
2020-02-24,0.26
2020-03-23,0.183
2020-04-20,0.203
2020-05-18,0.207
2020-06-22,0.209
2020-07-20,0.218
2020-08-24,0.392
2020-09-21,0.445
2020-10-19,0.452
2020-11-23,0.449
2020-12-30,0.404
2021-01-19,0.476
2021-02-22,0.36
2021-03-22,0.42
2021-04-19,0.361
2021-05-24,0.333
2021-06-21,0.387
2021-07-19,0.337
2021-08-23,0.373
2021-09-20,0.37
2021-10-18,0.345
2021-11-22,0.365
2021-12-30,0.458
2022-01-24,0.481
2022-02-22,0.484
2022-03-21,0.501
2022-04-18,0.495
2022-05-23,0.441
2022-06-21,0.422
2022-07-18,0.439
2022-08-22,0.434
2022-09-19,0.405
2022-10-24,0.401
2022-11-21,0.405
2022-12-29,0.382
2023-01-23,0.41
2023-02-21,0.408
2023-03-20,0.399
2023-04-24,0.376
2023-05-22,0.284
2023-06-20,0.327
2023-07-24,0.287
2023-08-21,0.38
2023-09-18,0.333
2023-10-23,0.384
2023-11-20,0.267
2023-12-28,0.29
2024-01-22,0.314
2024-02-20,0.302
2024-03-18,0.322
2024-04-22,0.34
2024-05-20,0.282
2024-06-24,0.276
2024-07-22,0.313
2024-08-19,0.4
2024-09-23,0.342
2024-10-21,0.386
2024-11-18,0.371
2024-12-30,1.19
2025-01-21,0.373
2025-02-24,0.291
2025-03-24,0.401
2025-04-21,0.377
2025-05-19,0.389
2025-06-23,0.387
2025-07-21,0.313
2025-08-18,0.316
2025-09-22,0.302
2025-10-20,0.397
2025-11-24,0.4
2025-12-22,0.325
2026-01-20,0.36
2026-02-23,0.341
2026-03-23,0.391
2026-04-20,0.352
2026-05-18,0.401
2026-06-22,0.34
