date,close,high,low,open,volume
1998-05-21,10.625,11.5,10.4375,10.5,3224000
1998-05-22,10.875,10.9375,10.5,10.625,234400
1998-05-26,10.9375,11.375,10.625,10.75,180200
1998-05-27,10.8125,11.125,10.8125,11.125,85500
1998-05-28,11.0,11.125,10.8125,11.125,43400
1998-05-29,11.125,11.1875,10.8125,11.1875,55600
1998-06-01,11.5625,11.5625,10.8125,11.1875,101700
1998-06-02,12.0,12.0,11.25,11.75,236800
1998-06-03,12.125,12.375,11.75,12.0,160200
1998-06-04,11.875,12.375,11.75,12.125,279400
1998-06-05,11.5,11.875,11.0,11.75,210900
1998-06-08,11.25,11.25,11.0,11.125,37300
1998-06-09,11.375,11.5,11.0,11.0,24400
1998-06-10,11.375,11.4375,11.25,11.25,85500
1998-06-11,11.1875,11.375,11.1875,11.25,69100
1998-06-12,11.0,11.375,10.625,11.125,48400
1998-06-15,10.25,10.875,10.25,10.875,91700
1998-06-16,10.375,10.6875,10.25,10.625,43400
1998-06-17,10.125,10.5,10.125,10.5,129600
1998-06-18,10.125,10.375,10.125,10.375,69700
1998-06-19,10.625,10.625,10.125,10.125,48800
1998-06-22,10.5,10.6875,10.5,10.625,27000
1998-06-23,11.0625,11.125,10.625,10.75,81000
1998-06-24,11.25,11.25,11.0,11.0,33900
1998-06-25,13.25,13.25,11.125,11.5,145200
1998-06-26,15.0,16.75,13.25,13.5,243300
1998-06-29,14.625,15.625,14.625,15.5,116600
1998-06-30,14.375,14.75,14.125,14.75,67600
1998-07-01,14.75,14.75,14.375,14.75,21900
1998-07-02,14.5,14.8125,14.375,14.75,10600
1998-07-06,14.75,15.375,14.75,14.875,51200
1998-07-07,14.125,15.125,14.125,15.125,78100
1998-07-08,14.0625,14.5,13.875,14.125,45700
1998-07-09,14.25,14.375,13.875,14.0,9700
1998-07-10,13.875,14.25,13.875,13.875,3900
1998-07-13,13.5,14.125,13.0,14.125,178800
1998-07-14,13.75,13.75,13.125,13.75,11200
1998-07-15,13.5,13.75,13.375,13.75,4700
1998-07-16,13.9375,13.9375,13.375,13.375,4100
1998-07-17,14.625,14.625,13.5,13.5,16600
1998-07-20,15.5,15.75,14.125,14.75,140500
1998-07-21,14.875,15.75,14.875,15.375,54500
1998-07-22,14.6875,15.125,14.625,14.75,7500
1998-07-23,15.0,15.0,14.625,15.0,15100
1998-07-24,12.625,15.375,12.25,15.375,102100
1998-07-27,11.875,12.75,11.8125,12.5,39100
1998-07-28,12.125,12.5,11.625,12.25,48500
1998-07-29,11.8125,12.375,11.75,12.375,10500
1998-07-30,12.1875,12.25,11.875,12.0,54000
1998-07-31,12.125,12.375,12.125,12.375,8400
1998-08-03,13.9375,14.5,13.5,13.75,299300
1998-08-04,14.0,14.25,13.875,14.25,171200
1998-08-05,13.5,14.125,13.5,14.0,42600
1998-08-06,13.625,13.75,13.25,13.75,8200
1998-08-07,13.0,13.625,13.0,13.625,24200
1998-08-10,13.4375,13.75,13.125,13.625,62200
1998-08-11,12.875,13.5,12.75,12.75,47400
